http://195.35.2.231:80  # response: 285.72ms
http://156.246.90.81:80  # response: 6003.72ms
http://139.162.78.109:80  # response: 1129.2ms
socks5://178.130.47.129:1082  # response: 957.54ms
http://154.17.228.122:80  # response: 767.13ms
http://36.138.53.26:10019  # response: 1154.06ms
socks4://70.166.167.55:57745  # response: 763.19ms
socks4://142.54.235.9:4145  # response: 802.59ms
socks4://198.177.254.157:4145  # response: 1422.01ms
socks5://137.220.48.4:1080  # response: 1746.47ms
http://154.16.146.45:80  # response: 2964.59ms
http://219.93.101.63:80  # response: 974.91ms
http://139.99.237.62:80  # response: 2448.06ms
socks5://24.249.199.4:4145  # response: 1012.75ms
socks5://24.249.199.12:4145  # response: 1263.31ms
socks5://67.201.33.10:25283  # response: 1108.8ms
socks5://67.201.59.70:4145  # response: 1016.9ms
socks5://68.1.210.163:4145  # response: 1011.98ms
socks5://66.42.224.229:41679  # response: 5190.59ms
socks5://68.71.254.6:4145  # response: 1060.84ms
socks5://68.1.210.189:4145  # response: 2196.9ms
socks5://70.166.167.38:57728  # response: 1295.92ms
socks5://68.71.247.130:4145  # response: 3086.77ms
socks5://70.166.167.55:57745  # response: 1135.74ms
socks5://72.37.217.3:4145  # response: 1084.1ms
socks5://72.195.34.41:4145  # response: 953.36ms
socks5://72.195.34.35:27360  # response: 1071.16ms
socks5://72.195.34.59:4145  # response: 985.56ms
socks5://72.195.34.42:4145  # response: 1200.4ms
socks5://69.61.200.104:36181  # response: 5341.0ms
socks5://72.195.34.58:4145  # response: 6555.13ms
socks5://72.195.34.60:27391  # response: 8440.46ms
socks5://72.195.114.184:4145  # response: 8618.32ms
socks5://74.119.144.60:4145  # response: 874.79ms
socks5://72.49.49.11:31034  # response: 10192.41ms
socks5://74.119.147.209:4145  # response: 916.31ms
socks5://98.170.57.249:4145  # response: 979.01ms
socks5://98.170.57.231:4145  # response: 1570.64ms
socks5://98.175.31.195:4145  # response: 1062.04ms
socks5://98.181.137.80:4145  # response: 962.69ms
